epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.03323,2.99085,37.9755,1.68182,0.56484,0.02444,0.01087,0.00289,3.59748,8.51917,1.67629,0.000527883,0.000527883,0.000527883
2,9.84491,2.79383,19.0758,1.39917,0.01119,0.00846,0.00037,0.00014,4.00777,11.2271,2.32495,0.0010764,0.0010764,0.0010764
3,14.4147,2.97776,5.09165,1.65239,0.00142,0.0141,6e-05,1e-05,4.43282,1928.69,7.64507,0.00161758,0.00161758,0.00161758
4,19.0266,2.79481,6.33504,1.40155,0.00027,0.00188,0,0,4.30378,532.902,35.5101,0.00163399,0.00163399,0.00163399
5,23.5452,2.98215,3.32483,1.5717,0.00125,0.01786,6e-05,2e-05,nan,nan,nan,0.00162299,0.00162299,0.00162299
6,27.9373,2.79065,3.20619,1.4082,0.0003,0.00564,1e-05,0,nan,nan,nan,0.00161199,0.00161199,0.00161199
7,32.3852,2.8942,3.07474,1.44896,0.01396,0.0141,0.00067,0.00015,nan,nan,nan,0.00160099,0.00160099,0.00160099
8,36.7658,2.88767,3.1468,1.53891,0.02081,0.00846,0.00149,0.00037,4.32529,170.167,3.82123,0.00158998,0.00158998,0.00158998
9,41.1,2.69459,5.4346,1.39705,0.03866,0.05451,0.01266,0.00307,3.58656,54.0518,1.76663,0.00157898,0.00157898,0.00157898
10,45.5632,2.75509,3.37183,1.45086,0.04611,0.06673,0.0114,0.00275,3.48786,58.3584,1.80193,0.00156798,0.00156798,0.00156798
11,49.9463,2.56075,4.08033,1.4253,0.00515,0.06297,0.00087,0.00017,3.41562,36.6144,1.70728,0.00155698,0.00155698,0.00155698
12,54.3973,2.61443,3.66641,1.36558,0.00571,0.06485,0.00241,0.00072,3.46118,7.39559,6.52529,0.00154598,0.00154598,0.00154598
13,58.803,2.65865,3.45298,1.35459,0.5118,0.07895,0.00351,0.00108,3.51236,312.595,5.41235,0.00153497,0.00153497,0.00153497
14,63.2934,2.57105,2.93804,1.35881,0.52635,0.06861,0.00515,0.00175,3.40594,70.9009,1.87183,0.00152397,0.00152397,0.00152397
15,67.7497,2.67303,2.63901,1.33994,0.533,0.07613,0.00775,0.00269,3.38988,11.8185,1.57022,0.00151297,0.00151297,0.00151297
16,72.2528,2.66669,2.77665,1.38288,0.55925,0.06109,0.01854,0.00538,3.35487,3.58316,1.51828,0.00150197,0.00150197,0.00150197
17,76.7929,2.53971,2.91528,1.39457,0.52568,0.02632,0.00444,0.00105,3.78094,3.96952,1.96572,0.00149096,0.00149096,0.00149096
18,81.325,2.64663,2.93381,1.35383,0.56281,0.07237,0.02229,0.00665,3.33863,3.35819,1.4752,0.00147996,0.00147996,0.00147996
19,85.946,2.48295,4.40122,1.28796,0.00554,0.11184,0.00165,0.0004,3.54909,68.5008,1.646,0.00146896,0.00146896,0.00146896
20,90.3762,2.65966,3.23079,1.33307,0.00277,0.06109,0.00042,0.00011,4.00718,1729.62,3.93235,0.00145796,0.00145796,0.00145796
21,94.7918,2.78012,4.03311,1.39699,0.00403,0.08083,0.00102,0.00029,3.74389,271.991,9.24325,0.00144696,0.00144696,0.00144696
22,99.2909,2.70772,2.81406,1.40113,0.51601,0.09398,0.00446,0.0013,3.59048,11.8235,2.84106,0.00143595,0.00143595,0.00143595
23,103.683,2.71546,3.10229,1.37054,0.54613,0.04887,0.02051,0.00578,3.43639,3.2654,1.74216,0.00142495,0.00142495,0.00142495
24,108.069,2.70859,2.67211,1.33019,0.57996,0.06673,0.02372,0.00724,3.40341,3.20007,1.51398,0.00141395,0.00141395,0.00141395
25,112.544,2.5854,2.53665,1.33103,0.56888,0.07707,0.0236,0.0071,3.36319,3.55555,1.47837,0.00140295,0.00140295,0.00140295
26,116.878,2.57237,2.54567,1.31714,0.07646,0.07895,0.02113,0.00632,3.35568,5.94122,1.45879,0.00139195,0.00139195,0.00139195
27,121.276,2.51859,2.51723,1.32512,0.05199,0.09868,0.01641,0.0046,3.30144,3.37889,1.4195,0.00138094,0.00138094,0.00138094
28,125.747,2.38094,2.43122,1.26559,0.58489,0.07989,0.03023,0.0099,3.32581,3.23489,1.41743,0.00136994,0.00136994,0.00136994
29,130.254,2.4196,4.3126,1.29982,0.57355,0.05733,0.01765,0.00478,3.49669,3.05022,1.53958,0.00135894,0.00135894,0.00135894
30,134.778,2.64676,2.9915,1.41458,0.01373,0.14098,0.02925,0.00906,3.30817,3.23694,1.45215,0.00134794,0.00134794,0.00134794
31,139.361,2.66725,2.99936,1.36763,0.57847,0.05921,0.02292,0.00804,3.23822,3.21581,1.48521,0.00133693,0.00133693,0.00133693
32,143.837,2.51548,2.71067,1.26503,0.54782,0.05357,0.01287,0.00441,3.21711,5.0853,1.58089,0.00132593,0.00132593,0.00132593
33,148.379,2.54299,2.43155,1.27788,0.58798,0.06861,0.02659,0.00772,3.27357,4.18618,1.46988,0.00131493,0.00131493,0.00131493
34,152.946,2.56504,3.02101,1.33885,0.58978,0.06955,0.02572,0.00841,3.29073,3.17702,1.52162,0.00130393,0.00130393,0.00130393
35,157.801,2.50433,2.87661,1.26981,0.57985,0.06391,0.0233,0.00754,3.31981,3.22408,1.70184,0.00129293,0.00129293,0.00129293
36,162.189,2.40582,2.87763,1.27189,0.10323,0.04605,0.02546,0.00764,3.29431,3.25265,1.57317,0.00128192,0.00128192,0.00128192
37,166.722,2.4483,2.66036,1.2906,0.58764,0.06015,0.0286,0.00985,3.10732,3.13847,1.51183,0.00127092,0.00127092,0.00127092
38,171.174,2.39203,2.5026,1.25245,0.57859,0.07237,0.02848,0.00998,3.18913,3.20154,1.77908,0.00125992,0.00125992,0.00125992
39,175.657,2.576,2.76314,1.22197,0.57927,0.08177,0.02756,0.01014,3.19303,3.21249,1.67079,0.00124892,0.00124892,0.00124892
40,180.098,2.39601,2.77241,1.26815,0.56929,0.10056,0.02798,0.01041,3.11234,3.12788,1.417,0.00123791,0.00123791,0.00123791
41,184.524,2.40225,2.93634,1.24539,0.06367,0.06579,0.02123,0.00811,3.10939,3.04675,1.43431,0.00122691,0.00122691,0.00122691
42,188.895,2.40153,2.71023,1.28112,0.60834,0.04417,0.02848,0.01036,3.14032,3.11373,1.41798,0.00121591,0.00121591,0.00121591
43,193.218,2.42353,3.96425,1.28324,0.58114,0.05169,0.02361,0.00784,3.27707,3.00849,1.44143,0.00120491,0.00120491,0.00120491
44,197.614,2.35191,4.24778,1.28731,0.58492,0.05827,0.02047,0.00665,3.3949,3.01094,1.50492,0.00119391,0.00119391,0.00119391
45,202.112,2.61898,3.14179,1.321,0.59214,0.04714,0.02465,0.00833,3.23331,3.14057,1.48025,0.0011829,0.0011829,0.0011829
46,206.547,2.33557,2.52574,1.26461,0.57109,0.06579,0.02336,0.00781,3.15461,3.09187,1.4445,0.0011719,0.0011719,0.0011719
47,210.921,2.27871,4.81196,1.24802,0.57393,0.07519,0.02553,0.00781,3.22769,3.2437,1.45155,0.0011609,0.0011609,0.0011609
